game_pk,game_date,game_type,season,away_team,away_team_id,home_team,home_team_id,venue,status
746438,2024-08-16,R,2024,New York Yankees,147,Detroit Tigers,116,Comerica Park,Final
745054,2024-08-16,R,2024,Arizona Diamondbacks,109,Tampa Bay Rays,139,Tropicana Field,Final
747001,2024-08-16,R,2024,Boston Red Sox,111,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
745784,2024-08-16,R,2024,Miami Marlins,146,New York Mets,121,Citi Field,Final
744974,2024-08-16,R,2024,Minnesota Twins,142,Texas Rangers,140,Globe Life Field,Final
746357,2024-08-16,R,2024,Chicago White Sox,145,Houston Astros,117,Minute Maid Park,Final
745949,2024-08-16,R,2024,Cleveland Guardians,114,Milwaukee Brewers,158,American Family Field,Final
745144,2024-08-16,R,2024,Los Angeles Dodgers,119,St. Louis Cardinals,138,Busch Stadium,Final
746518,2024-08-16,R,2024,San Diego Padres,135,Colorado Rockies,115,Coors Field,Final
746189,2024-08-16,R,2024,Atlanta Braves,144,Los Angeles Angels,108,Angel Stadium,Final
745463,2024-08-17,R,2024,Seattle Mariners,136,Pittsburgh Pirates,134,PNC Park,Final
746434,2024-08-17,R,2024,New York Yankees,147,Detroit Tigers,116,Comerica Park,Final
746841,2024-08-17,R,2024,Toronto Blue Jays,141,Chicago Cubs,112,Wrigley Field,Final
745049,2024-08-17,R,2024,Arizona Diamondbacks,109,Tampa Bay Rays,139,Tropicana Field,Final
745785,2024-08-17,R,2024,Miami Marlins,146,New York Mets,121,Citi Field,Final
745537,2024-08-17,R,2024,Washington Nationals,120,Philadelphia Phillies,143,Citizens Bank Park,Final
746675,2024-08-17,R,2024,Kansas City Royals,118,Cincinnati Reds,113,Great American Ball Park,Final
746997,2024-08-17,R,2024,Boston Red Sox,111,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
744977,2024-08-17,R,2024,Minnesota Twins,142,Texas Rangers,140,Globe Life Field,Final
745626,2024-08-17,R,2024,San Francisco Giants,137,Oakland Athletics,133,Oakland Coliseum,Final
746355,2024-08-17,R,2024,Chicago White Sox,145,Houston Astros,117,Minute Maid Park,Final
745140,2024-08-17,R,2024,Los Angeles Dodgers,119,St. Louis Cardinals,138,Busch Stadium,Final
745952,2024-08-17,R,2024,Cleveland Guardians,114,Milwaukee Brewers,158,American Family Field,Final
746515,2024-08-17,R,2024,San Diego Padres,135,Colorado Rockies,115,Coors Field,Final
746190,2024-08-17,R,2024,Atlanta Braves,144,Los Angeles Angels,108,Angel Stadium,Final
745786,2024-08-18,R,2024,Miami Marlins,146,New York Mets,121,Citi Field,Final
746999,2024-08-18,R,2024,Boston Red Sox,111,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
